Model_number,reps,fold,brier,slope,auc,Variables,Penalty,Model,Approach
5,4,7,0.150737381,0.926836362,0.78667518,B + CMS,,Cox,Cox
5,4,8,0.156044524,0.903816192,0.78432597,B + CMS,,Cox,Cox
5,4,9,0.150263743,0.946899822,0.790523577,B + CMS,,Cox,Cox
5,4,10,0.151762112,0.913522856,0.790169929,B + CMS,,Cox,Cox
5,5,1,0.144576508,0.967519007,0.798363254,B + CMS,,Cox,Cox
5,5,2,0.148157415,0.931168158,0.793328831,B + CMS,,Cox,Cox
5,5,3,0.150838192,0.913478208,0.787138383,B + CMS,,Cox,Cox
5,5,4,0.14904993,0.924242799,0.789625097,B + CMS,,Cox,Cox
5,5,5,0.15611233,0.864295663,0.772933901,B + CMS,,Cox,Cox
5,5,6,0.148085566,0.897896845,0.783266502,B + CMS,,Cox,Cox
5,5,7,0.155961493,0.900995941,0.78075212,B + CMS,,Cox,Cox
5,5,8,0.145719662,0.908682545,0.798226709,B + CMS,,Cox,Cox
5,5,9,0.156918124,0.829080362,0.769846147,B + CMS,,Cox,Cox
5,5,10,0.152745384,0.914117081,0.782758393,B + CMS,,Cox,Cox
6,1,1,0.142382412,0.997118111,0.783613231,B + CMS,,Logistic,Logistic
6,1,2,0.140722635,0.997581309,0.789117689,B + CMS,,Logistic,Logistic
6,1,3,0.139056845,1.035597845,0.791987286,B + CMS,,Logistic,Logistic
6,1,4,0.134945258,1.043839226,0.795360372,B + CMS,,Logistic,Logistic
6,1,5,0.132611508,1.046998402,0.794353742,B + CMS,,Logistic,Logistic
6,1,6,0.145611943,0.997362107,0.785012373,B + CMS,,Logistic,Logistic
6,1,7,0.149282829,0.951220675,0.780184741,B + CMS,,Logistic,Logistic
6,1,8,0.144695965,0.973060399,0.777668546,B + CMS,,Logistic,Logistic
6,1,9,0.137423394,1.036771241,0.798404284,B + CMS,,Logistic,Logistic
6,1,10,0.149472,0.932248514,0.774264013,B + CMS,,Logistic,Logistic
6,2,1,0.144935445,1.023782379,0.792337478,B + CMS,,Logistic,Logistic
6,2,2,0.139689469,0.966564724,0.777019878,B + CMS,,Logistic,Logistic
6,2,3,0.140800592,1.027580486,0.794033735,B + CMS,,Logistic,Logistic
6,2,4,0.143324416,0.971572184,0.778087329,B + CMS,,Logistic,Logistic
6,2,5,0.143644234,1.079067918,0.796780074,B + CMS,,Logistic,Logistic
6,2,6,0.135964097,1.007534692,0.790099644,B + CMS,,Logistic,Logistic
6,2,7,0.141443951,0.966013323,0.788079544,B + CMS,,Logistic,Logistic
6,2,8,0.142699921,0.998141038,0.78307997,B + CMS,,Logistic,Logistic
6,2,9,0.142388876,0.984761694,0.783596775,B + CMS,,Logistic,Logistic
6,2,10,0.14523458,0.965376975,0.780439884,B + CMS,,Logistic,Logistic
6,3,1,0.139781799,1.017579717,0.791799436,B + CMS,,Logistic,Logistic
6,3,2,0.143441228,0.930341759,0.771678102,B + CMS,,Logistic,Logistic
6,3,3,0.14321808,1.0247117,0.788889643,B + CMS,,Logistic,Logistic
6,3,4,0.143467129,0.965916031,0.778859624,B + CMS,,Logistic,Logistic
6,3,5,0.148128969,0.98927887,0.783690919,B + CMS,,Logistic,Logistic
6,3,6,0.145748056,0.956005304,0.776729418,B + CMS,,Logistic,Logistic
6,3,7,0.130535525,1.063189016,0.806359362,B + CMS,,Logistic,Logistic
6,3,8,0.134289741,1.069210429,0.797679046,B + CMS,,Logistic,Logistic
6,3,9,0.14616201,1.029773586,0.795388998,B + CMS,,Logistic,Logistic
6,3,10,0.147728607,0.963450129,0.776651783,B + CMS,,Logistic,Logistic
6,4,1,0.146234524,0.963008831,0.779289789,B + CMS,,Logistic,Logistic
6,4,2,0.140358879,0.994451589,0.782049925,B + CMS,,Logistic,Logistic
6,4,3,0.137000815,1.015516117,0.794896006,B + CMS,,Logistic,Logistic
