reps,fold,brier,slope,auc,runtime,model,Model_number
2,2,0.144385664,0.936892293,0.757062659,4.641265631,8,8
2,3,0.145311613,1.009865735,0.779374325,4.703889608,8,8
2,4,0.148199708,0.941821312,0.760417035,3.111218929,8,8
2,5,0.147949618,1.064369888,0.783522292,4.786779404,8,8
2,6,0.139870916,1.021044337,0.773254085,4.695842743,8,8
2,7,0.14563591,0.975867057,0.770896978,3.113204956,8,8
2,8,0.145069985,1.020018196,0.770860886,4.640739918,8,8
2,9,0.147329087,0.946288957,0.764080016,4.772247553,8,8
2,10,0.149592536,0.936971422,0.759765019,3.128271341,8,8
3,1,0.142934597,0.999174934,0.775824162,4.797806501,8,8
3,2,0.148309022,0.917184673,0.754621935,4.678849936,8,8
3,3,0.149162553,1.001063639,0.768090241,4.70704031,8,8
3,4,0.148041765,0.932893387,0.758835071,4.796933651,8,8
3,5,0.151354268,0.994686409,0.772259988,3.223036766,8,8
3,6,0.148452247,0.960964102,0.764743878,3.19333744,8,8
3,7,0.133497671,1.054391463,0.7875065,4.764974594,8,8
3,8,0.137958035,1.060483654,0.783556429,4.752571821,8,8
3,9,0.150658123,1.024695318,0.779982362,6.263105154,8,8
3,10,0.153472694,0.926643943,0.756437249,4.672646523,8,8
4,1,0.14867904,0.96888557,0.766791801,3.09213376,8,8
4,2,0.144327089,0.984681942,0.768723853,3.164885998,8,8
4,3,0.141256082,1.020796491,0.775723977,3.052984715,8,8
4,4,0.137468392,0.970268095,0.764966444,4.84733963,8,8
4,5,0.144458393,0.96324815,0.77134041,4.786124468,8,8
4,6,0.14818386,0.945774061,0.7607855,4.753917933,8,8
4,7,0.150736994,1.011290402,0.771609051,4.722000599,8,8
4,8,0.153512822,0.979019396,0.767476871,3.231156111,8,8
4,9,0.148491822,1.005456289,0.774281565,3.201103926,8,8
4,10,0.144697994,1.009740487,0.774736927,4.549381018,8,8
5,1,0.137543973,1.064834707,0.78407275,3.081913233,8,8
5,2,0.142736455,1.02803066,0.778008684,3.13806653,8,8
5,3,0.151762889,0.977043139,0.769225702,4.69105792,8,8
5,4,0.144846711,0.990256646,0.772009051,4.761885166,8,8
5,5,0.150841351,0.963142039,0.759842693,4.812890053,8,8
5,6,0.144762508,0.948105627,0.764261818,4.685451031,8,8
5,7,0.152332915,0.963128728,0.761883312,4.856092453,8,8
5,8,0.138983381,1.015959831,0.780385716,6.334610701,8,8
5,9,0.153761313,0.901535969,0.756187938,4.791455746,8,8
5,10,0.147890824,0.987536735,0.76743823,4.794944525,8,8
1,1,0.140837728,1.032607064,0.786972825,14.20581174,9,9
1,2,0.140174987,1.023769961,0.790938006,12.55588627,9,9
1,3,0.13767603,1.069494097,0.796223833,14.55846953,9,9
1,4,0.134945572,1.059638772,0.793568922,13.01647091,9,9
1,5,0.132041206,1.061843357,0.792303908,11.30856609,9,9
1,6,0.144221141,1.053242267,0.787495715,14.34640527,9,9
1,7,0.148399485,0.971390135,0.782305695,12.22140813,9,9
1,8,0.143699536,0.994900049,0.780062745,12.67984152,9,9
1,9,0.136954737,1.083269176,0.796927553,11.26198053,9,9
1,10,0.148665395,0.957741324,0.77695471,12.44173074,9,9
2,1,0.144547794,1.042078894,0.791810255,12.75411654,9,9
2,2,0.138944209,0.97993819,0.779477862,12.51673698,9,9
2,3,0.139748368,1.068368566,0.797676288,11.13328171,9,9
